date,south_africa,ghana,nigeria,kenya,egypt
1991-01-01,200.2,6596546195.65217,46662252243.403,7777925490.49546,37387836490.5284
1992-01-01,165.25,6413901601.83066,44845451752.9515,7854637369.32284,41855986519.4235
1993-01-01,135.74,5966255778.12018,25405868779.2495,5391615365.51767,46578631452.581
1994-01-01,131.15,5444560669.45607,31479810394.0321,6785821853.82494,51897983392.6453
1995-01-01,162.33,6465137614.6789,41841871712.6208,8726170867.8626,60159245060.4541
1996-01-01,180.44,6934984709.48012,48844965092.5,11819958033.718,67629716981.1321
1997-01-01,183.09,6891308593.75,52221675469.5588,12943578955.5232,78436578171.0914
1998-01-01,198.39,7480968858.13149,51777584259.0909,13964091742.6329,84828807556.0803
1999-01-01,154.21,7719354838.70968,57896917103.5575,12723150903.9305,90710704806.8416
2000-01-01,121.32,4983024408.14828,63300677661.0588,12575576937.4668,99838543960.0763
2001-01-01,116.12,5314909953.92992,68770282527.4012,12838507613.6252,96684636118.5984
2002-01-01,133.95,6166330136.2948,88977832496.9628,13026157962.4402,85146067415.7303
2003-01-01,127.98,7632406552.83803,97091896744.1774,14738442156.8305,80288461538.4615
2004-01-01,90.39,8881368538.07671,125951719514.652,15953749659.6096,78782467532.4675
2005-01-01,82.87,10744675209.8984,162338536466.528,18731703507.8176,89600665557.4043
2006-01-01,88.07,20440893017.1566,233765963864.18,25755442380.6671,107426086956.522
2007-01-01,109.38,24827844949.6033,266299161513.666,31814012977.2897,130437828371.278
2008-01-01,129.69,28678701891.0957,324211843442.767,35863494628.8632,162818181818.182
2009-01-01,94.21,26048108185.0534,280289820640.553,36976859034.0263,189147005444.646
2010-01-01,77.04,32197272797.2028,347281193780.571,39852460837.1238,218983666061.706
2011-01-01,65.85,39337314809.9434,391452473152.946,41961912289.9467,235989672977.625
2012-01-01,63.43,41270954737.2459,441664867666.071,50187342658.6663,279116666666.667
2013-01-01,60.94,62823043706.4702,494340878540.615,54496759862.9401,288434108527.132
2014-01-01,69.6,54782847752.5375,555023278204.364,60579806470.9482,305595408895.265
2015-01-01,72.63,49406568432.6711,480055292895.853,63195105853.1145,329366576819.407
2016-01-01,86.75,56165172898.8695,395950175922.109,73804795654.1785,332441717791.411
2017-01-01,87.96,60406382898.5174,364253178873.795,80474762331.6304,235733695652.174
2018-01-01,85.88,67299280679.563,402282967792.649,90812256667.2195,249712999437.254
2019-01-01,85.0,68337537815.7703,433449064637.171,98774891656.0447,303080865603.645
2020-01-01,54.55,70043199813.6885,416429693674.608,98931055473.5145,365252651278.852
2021-01-01,45.42,77594279054.8795,423882311505.655,108691240330.653,404142766093.053
